district_name,district_key,district_code,reference_date,population_total,population_male,population_female,area_m2,area_km2,centroid_lon,centroid_lat,population_density_km2,housing_total,housing_regulation,housing_other_programs,housing_per_1000_residents,green_area_ha,green_area_ha_year,green_area_per_10000,green_area_per_10000_year,income_per_person,income_per_person_year,household_income,household_income_year,unemployment_total,unemployment_total_year,unemployment_rate,unemployment_rate_year,vulnerability_index,vulnerability_index_year,vulnerability_employment,vulnerability_employment_year,has_population_data,has_housing_data,has_green_data,has_economy_data,has_employment_data,has_vulnerability_data,grid_cell_count,grid_height_mean_avg,grid_height_max_avg,grid_pt_stop_count_avg,grid_pt_access_good_share,grid_green_like_share,grid_residential_share,grid_industrial_share,grid_dense_urban_share,grid_typology_entropy,data_coverage_score,anomaly_score,anomaly_flag,anomaly_top_features,dominant_cluster_label,cluster_share_cluster_0,cluster_share_cluster_1,cluster_share_cluster_2
Centro,centro,1,1 de enero de 2024,145411,73734,71677,9035570.385498047,9.035570385498048,-3.705739527712089,40.416618703720225,16093.0,428.0,283.0,145.0,2.94,30.44996882,2024,2.094062266,2024,22073.0,2023,41059.0,2022,6048.0,2025,5.34,2025,5.659905428,2023,8.146911416,2023,True,True,True,True,True,True,81.0,19.166949059106553,37.26923076923077,6.3580246913580245,0.6419753086419753,0.09876543209876543,0.5432098765432098,0.18518518518518517,0.5432098765432098,,1.0,0.5334227624117133,False,"['cluster_share_cluster_1', 'grid_dense_urban_share', 'population_density_km2']",cluster_0,0.6923076923076923,0.19230769230769232,0.11538461538461539
Arganzuela,arganzuela,2,1 de enero de 2024,156559,73311,83248,11161217.545654297,11.161217545654297,-3.700336954394865,40.40102488093959,14027.0,155.0,152.0,3.0,0.99,90.30312065,2024,5.767992939,2024,22728.0,2023,49236.0,2022,5509.0,2025,5.11,2025,3.994990639,2023,5.503096367,2023,True,True,True,True,True,True,106.0,19.54525475580136,35.53465346534654,5.933962264150943,0.5377358490566038,0.1320754716981132,0.4056603773584906,0.22641509433962265,0.4056603773584906,,1.0,0.4851997952143671,False,"['cluster_share_cluster_1', 'cluster_share_cluster_2', 'cluster_share_cluster_0']",cluster_0,0.7524752475247525,0.1782178217821782,0.06930693069306931
Retiro,retiro,3,1 de enero de 2024,119757,54339,65418,9450800.593017578,9.450800593017577,-3.6782347526182617,40.40936981077339,12672.0,21.0,12.0,9.0,0.18,36.70553346,2024,3.065001082,2024,26905.0,2023,60762.0,2022,3019.0,2025,4.07,2025,3.766466991,2023,4.822311678,2023,True,True,True,True,True,True,86.0,20.52633493524386,39.5125,4.255813953488372,0.5,0.3023255813953488,0.313953488372093,0.11627906976744186,0.313953488372093,,1.0,0.5027343788705197,False,"['grid_height_mean_avg', 'cluster_share_cluster_1', 'vulnerability_index']",cluster_0,0.7375,0.1625,0.1
Salamanca,salamanca,4,1 de enero de 2024,149778,66374,83404,9338757.158935547,9.338757158935547,-3.6733732145362867,40.432914324609456,16038.0,2.0,2.0,,0.01,35.72110745,2024,2.38493687,2024,29687.0,2023,64925.0,2022,3773.0,2025,3.78,2025,4.285622522,2023,5.131533196,2023,True,True,True,True,True,True,86.0,21.367094638673652,39.895348837209305,6.127906976744186,0.6627906976744186,0.023255813953488372,0.6162790697674418,0.09302325581395349,0.6162790697674418,,1.0,0.5305167725326955,False,"['grid_dense_urban_share', 'grid_height_mean_avg', 'income_per_person']",cluster_0,0.7906976744186046,0.1744186046511628,0.03488372093023256
Chamartín,chamartín,5,1 de enero de 2024,148111,66860,81251,15886827.321533203,15.886827321533204,-3.676761799628147,40.465427467345485,9323.0,,,,,56.09418103,2024,3.787306887,2024,32019.0,2023,74842.0,2022,3835.0,2025,4.05,2025,3.993115849,2023,4.599711715,2023,True,False,True,True,True,True,146.0,17.199667219843896,40.50684931506849,5.2534246575342465,0.6027397260273972,0.0410958904109589,0.3493150684931507,0.10273972602739725,0.3493150684931507,,0.857,0.5282211387424602,False,"['household_income', 'income_per_person', 'vulnerability_employment']",cluster_0,0.6095890410958904,0.10273972602739725,0.2876712328767123
Tetuán,tetuán,6,1 de enero de 2024,166211,76072,90139,9291117.685791016,9.291117685791015,-3.702646782486224,40.4671617390868,17889.0,,,,,63.09533211,2024,3.79609846,2024,19192.0,2023,42465.0,2022,6343.0,2025,5.29,2025,4.806537994,2023,8.150334285,2023,True,False,True,True,True,True,87.0,18.57199141617489,45.35294117647059,5.045977011494253,0.6091954022988506,0.09195402298850575,0.5632183908045977,0.04597701149425287,0.5632183908045977,,0.857,0.49994959854897475,False,"['cluster_share_cluster_1', 'population_density_km2', 'grid_dense_urban_share']",cluster_0,0.5882352941176471,0.18823529411764706,0.2235294117647059
Chamberí,chamberí,7,1 de enero de 2024,141984,62918,79066,8089516.155395508,8.089516155395508,-3.707862689637008,40.43840688667967,17552.0,,,,,9.994497702,2024,0.703917181,2024,29126.0,2023,60032.0,2022,3836.0,2025,4.02,2025,5.534217237,2023,4.875443201,2023,True,False,True,True,True,True,75.0,22.79408611154859,42.0,6.133333333333334,0.68,0.0,0.6,0.17333333333333334,0.6,,0.857,0.5565414624843036,True,"['grid_height_mean_avg', 'grid_dense_urban_share', 'cluster_share_cluster_2']",cluster_0,0.8133333333333334,0.17333333333333334,0.013333333333333334
Fuencarral - El Pardo,fuencarralelpardo,8,1 de enero de 2024,253898,119721,134177,412348138.07336426,412.3481380733643,-3.7436568833369743,40.55402996058156,616.0,23.0,13.0,10.0,0.09,374.5002142,2024,14.75002616,2024,23338.0,2023,58214.0,2022,7256.0,2025,4.54,2025,3.791354917,2023,5.419264,2023,True,True,True,True,True,True,3806.0,12.524532986191858,23.20418006430868,0.29217025748817654,0.043615344193378876,0.8018917498686284,0.02259590120861797,0.031003678402522335,0.02259590120861797,,1.0,0.528552746877589,False,"['grid_green_like_share', 'grid_pt_access_good_share', 'population_density_km2']",cluster_2,0.32315112540192925,0.024115755627009645,0.6527331189710611
Moncloa - Aravaca,moncloaaravaca,9,1 de enero de 2024,125223,58121,67102,80607859.10632324,80.60785910632325,-3.7684289561991258,40.460827610505376,1553.0,,,,,189.1038416,2024,15.10136649,2024,27768.0,2023,68238.0,2022,3397.0,2025,4.13,2025,3.728253633,2023,5.241750514,2023,True,False,True,True,True,True,750.0,10.008048714773912,19.311340206185566,1.2946666666666666,0.17466666666666666,0.43466666666666665,0.052,0.12266666666666666,0.052,,0.857,0.5224504130389144,False,"['cluster_share_cluster_0', 'household_income', 'cluster_share_cluster_2']",cluster_2,0.1979381443298969,0.01443298969072165,0.7876288659793814
Latina,latina,10,1 de enero de 2024,250396,116437,133959,43798236.93371582,43.79823693371582,-3.78770661794252,40.38624618375074,5717.0,221.0,108.0,113.0,0.88,260.8854388,2024,10.41891399,2024,15089.0,2023,35669.0,2022,11273.0,2025,6.73,2025,4.864481862,2023,9.069398814,2023,True,True,True,True,True,True,409.0,11.993258592785685,25.414545454545454,1.938875305623472,0.2713936430317848,0.37163814180929094,0.14180929095354522,0.097799511002445,0.14180929095354522,,1.0,0.4371951506523848,False,"['household_income', 'income_per_person', 'unemployment_rate']",cluster_2,0.41818181818181815,0.03272727272727273,0.5490909090909091
Carabanchel,carabanchel,11,1 de enero de 2024,274406,128997,145409,24263100.965820312,24.263100965820314,-3.73242888228492,40.38755865145202,11310.0,746.0,494.0,252.0,2.72,255.7571959,2024,9.320393721,2024,13449.0,2023,33786.0,2022,13502.0,2025,6.9,2025,5.414131739,2023,10.6795205,2023,True,True,True,True,True,True,223.0,12.293297256126278,25.653465346534652,3.0538116591928253,0.47533632286995514,0.2914798206278027,0.36771300448430494,0.13901345291479822,0.36771300448430494,,1.0,0.46492195283775756,False,"['vulnerability_employment', 'income_per_person', 'household_income']",cluster_2,0.40594059405940597,0.0297029702970297,0.5643564356435643
Usera,usera,12,1 de enero de 2024,149113,70801,78312,13419099.960205078,13.419099960205077,-3.6970261982322876,40.374131500587595,11112.0,367.0,187.0,180.0,2.46,167.8026791,2024,11.25339032,2024,12116.0,2023,31996.0,2022,8190.0,2025,7.49,2025,5.756080339,2023,11.93577364,2023,True,True,True,True,True,True,125.0,13.965842521463466,30.716666666666665,3.6,0.504,0.232,0.232,0.112,0.232,,1.0,0.48376936785411756,False,"['vulnerability_employment', 'unemployment_rate', 'income_per_person']",cluster_0,0.5666666666666667,0.03333333333333333,0.4
Puente de Vallecas,puentedevallecas,13,1 de enero de 2024,253048,120530,132518,25866343.061401367,25.866343061401366,-3.670099761725971,40.37960798948374,9783.0,1252.0,1140.0,112.0,4.95,280.6838366,2024,11.09211836,2024,12056.0,2023,30339.0,2022,16151.0,2025,8.86,2025,6.367135344,2023,12.53833786,2023,True,True,True,True,True,True,239.0,12.38212361556373,26.859223300970875,2.8368200836820083,0.401673640167364,0.16736401673640167,0.2217573221757322,0.14225941422594143,0.2217573221757322,,1.0,0.5166821568792324,False,"['unemployment_rate', 'vulnerability_index', 'vulnerability_employment']",cluster_2,0.4563106796116505,0.02912621359223301,0.5145631067961165
Moratalaz,moratalaz,14,1 de enero de 2024,95123,43412,51711,10532283.762939453,10.532283762939453,-3.6421782995516976,40.40737850065197,9032.0,27.0,10.0,17.0,0.28,117.5935196,2024,12.36225935,2024,17272.0,2023,40325.0,2022,3553.0,2025,5.84,2025,5.207757352,2023,8.632129997,2023,True,True,True,True,True,True,97.0,16.30966115899677,33.50588235294118,3.350515463917526,0.5257731958762887,0.2268041237113402,0.26804123711340205,0.1134020618556701,0.26804123711340205,,1.0,0.46098364704051503,False,"['cluster_share_cluster_0', 'housing_per_1000_residents', 'cluster_share_cluster_2']",cluster_0,0.7176470588235294,0.047058823529411764,0.23529411764705882
Ciudad Lineal,ciudadlineal,15,1 de enero de 2024,230035,105836,124199,19738029.846069336,19.738029846069335,-3.6513514784999366,40.4467464736304,11654.0,38.0,22.0,16.0,0.17,134.9618593,2024,5.86701412,2024,18790.0,2023,43738.0,2022,9067.0,2025,5.8,2025,4.269531326,2023,7.357909323,2023,True,True,True,True,True,True,184.0,16.378830478379534,36.2969696969697,3.4293478260869565,0.532608695652174,0.1956521739130435,0.3967391304347826,0.059782608695652176,0.3967391304347826,,1.0,0.4575562396563962,False,"['cluster_share_cluster_0', 'housing_per_1000_residents', 'grid_pt_access_good_share']",cluster_0,0.6848484848484848,0.048484848484848485,0.26666666666666666
Hortaleza,hortaleza,16,1 de enero de 2024,205182,97439,107743,47775493.21569824,47.77549321569824,-3.6307664690330292,40.4935938903104,4295.0,29.0,15.0,14.0,0.14,324.8233341,2024,15.83098586,2024,23074.0,2023,57506.0,2022,6236.0,2025,4.59,2025,4.115845116,2023,5.973094029,2023,True,True,True,True,True,True,431.0,14.108317319762007,27.803797468354432,1.7587006960556844,0.2668213457076566,0.33874709976798145,0.21809744779582366,0.07192575406032482,0.21809744779582366,,1.0,0.4805735104366424,False,"['vulnerability_index', 'green_area_per_10000', 'housing_per_1000_residents']",cluster_0,0.5379746835443038,0.0189873417721519,0.4430379746835443
Villaverde,villaverde,17,1 de enero de 2024,167952,80563,87389,34847200.28063965,34.84720028063965,-3.677748114204208,40.33941318932687,4820.0,934.0,645.0,289.0,5.56,216.5847324,2024,12.89563282,2024,12130.0,2023,32527.0,2022,9252.0,2025,7.64,2025,5.762095153,2023,11.78149754,2023,True,True,True,True,True,True,321.0,11.2575432308923,22.02857142857143,1.5358255451713396,0.22741433021806853,0.2772585669781931,0.1277258566978193,0.32087227414330216,0.1277258566978193,,1.0,0.5075277525450504,False,"['housing_per_1000_residents', 'vulnerability_employment', 'unemployment_rate']",cluster_2,0.2816326530612245,0.0163265306122449,0.7020408163265306
Villa de Vallecas,villadevallecas,18,1 de enero de 2024,122337,59153,63184,88666859.85864258,88.66685985864258,-3.6267671607312,40.347082101037074,1380.0,,,,,300.8407884,2024,24.591153,2024,15177.0,2023,36998.0,2022,5459.0,2025,6.22,2025,5.287252376,2023,9.551439022,2023,True,False,True,True,True,True,820.0,11.249854829560258,20.968858131487888,0.4024390243902439,0.07073170731707316,0.5963414634146341,0.042682926829268296,0.12195121951219512,0.042682926829268296,,0.857,0.5005966634047199,False,"['green_area_per_10000', 'grid_green_like_share', 'grid_pt_access_good_share']",cluster_2,0.32525951557093424,0.0,0.6747404844290658
Vicálvaro,vicálvaro,19,1 de enero de 2024,89772,43490,46282,60257840.41015625,60.25784041015625,-3.5580886077318654,40.40118946890661,1490.0,,,,,197.4128362,2024,21.99046877,2024,15871.0,2023,39505.0,2022,4557.0,2025,6.68,2025,4.86801978,2023,8.604523915,2023,True,False,True,True,True,True,560.0,10.19826926270467,17.274193548387096,0.5607142857142857,0.08928571428571429,0.3375,0.0625,0.06607142857142857,0.0625,,0.857,0.48447283302851313,False,"['green_area_per_10000', 'cluster_share_cluster_0', 'grid_pt_access_good_share']",cluster_2,0.23118279569892472,0.005376344086021506,0.7634408602150538
San Blas - Canillejas,sanblascanillejas,20,1 de enero de 2024,166583,78823,87760,38527013.60559082,38.52701360559082,-3.590958948934112,40.43308794010342,4324.0,,,,,180.4470864,2024,10.83226298,2024,16769.0,2023,41474.0,2022,7278.0,2025,6.15,2025,4.642425923,2023,8.674580308,2023,True,False,True,True,True,True,354.0,12.544505780541694,25.31967213114754,1.5875706214689265,0.24858757062146894,0.3559322033898305,0.1327683615819209,0.24293785310734464,0.1327683615819209,,0.857,0.4310919888361128,False,"['population_density_km2', 'cluster_share_cluster_1', 'grid_dense_urban_share']",cluster_2,0.4426229508196721,0.020491803278688523,0.5368852459016393
Barajas,barajas,21,1 de enero de 2024,49612,23837,25775,72240177.6694336,72.24017766943359,-3.5698100669121735,40.480041831892194,687.0,380.0,326.0,54.0,7.66,106.3570627,2024,21.43776964,2024,22220.0,2023,54343.0,2022,1630.0,2025,4.89,2025,3.884778014,2023,5.114723239,2023,True,True,True,True,True,True,681.0,11.436180450883413,20.186131386861312,0.5903083700440529,0.07782672540381791,0.1395007342143906,0.030837004405286344,0.06607929515418502,0.030837004405286344,,1.0,0.5462012732824493,True,"['housing_per_1000_residents', 'green_area_per_10000', 'grid_pt_access_good_share']",cluster_2,0.24817518248175183,0.01824817518248175,0.7335766423357665
